Site,Date,Day.Night,Time pt,Pool,Time,Salinity ,Conductivity,Temp.pool,DO,mV,Temp.in,pH.pre,TA,CRM.off,NN,PO,NH4,Wind,PoolID,SetID,comments
Bodega,7/25/2016,Day,0,15,6:48,36.6,40542,10.9,4.83,-15.5,11.336,7.418524713,2213.055355,0.111498,22.1,2.71,6.28,0,15,15,
Bodega,7/25/2016,Day,0,Ocean,7:34,36.5,40108,10.6,8.82,-36.6,10.794,7.796625957,2232.447854,0.111498,12.5,1.29,0.58,0,Ocean,Ocean,
Bodega,7/25/2016,Day,1,1,7:40,36.5,40526,11,4.42,-17.4,11.541,7.450801493,2239.631934,0.111498,8.35,1.24,11.25,1.1,1,1,
Bodega,7/25/2016,Day,1,2,7:43,36.6,40815,11.2,5.4,-16.7,11.637,7.437766964,2235.415886,0.111498,8.5,1.25,9.55,1.1,2,2,
Bodega,7/25/2016,Day,1,3,7:45,36.6,40788,11.1,4.19,-9.3,11.809,7.305740441,2321.191201,0.111498,13.9,1.43,8.16,1.1,3,3,
Bodega,7/25/2016,Day,1,4,7:50,36.7,42105,12.4,4.81,-15.7,12.533,7.414137001,2262.953996,0.111498,25,3.81,12.58,1.1,4,4,
Bodega,7/25/2016,Day,1,5,7:53,36.6,41992,12.3,5.32,-14.9,12.577,7.399735408,2202.797065,0.111498,5.71,1.27,8.95,1.1,5,5,
Bodega,7/25/2016,Day,1,6,7:55,36.7,41855,12.2,3.63,-11.1,12.446,7.333538808,2203.63693,0.111498,7.96,1.31,4.34,1.1,6,6,
Bodega,7/25/2016,Day,1,7,7:57,36.7,40835,11.2,3.54,-19.8,11.697,7.492213106,2234.559533,0.111498,9.63,1.35,10.58,1.1,7,7,
Bodega,7/25/2016,Day,1,8,8:00,36.6,41193,11.6,4.36,-13.8,12.073,7.383608906,2239.420417,0.111498,3.64,0.997,3.01,1.1,8,8,
Bodega,7/25/2016,Day,1,9,8:02,36.6,41036,11.5,7.18,-18,11.96,7.458585378,2242.331106,0.111498,2.03,0.871,1.98,1.1,9,9,
Bodega,7/25/2016,Day,1,10,8:10,36.5,40768,11.2,4.9,-18.5,11.546,7.470240223,2252.058058,0.111498,8.28,1.34,3.37,1.1,10,10,
Bodega,7/25/2016,Day,1,11,8:17,36.6,40959,11.4,6.02,-19.2,11.799,7.480899024,2169.353403,0.111498,9.09,1.44,8.34,1.1,11,11,
Bodega,7/25/2016,Day,1,12,8:12,36.6,40753,11.1,5.73,-18,11.494,7.461741573,2172.612014,0.111498,17.9,2.14,8.34,1.1,12,12,
Bodega,7/25/2016,Day,1,13,8:14,36.7,40899,11.2,7.18,-22.8,11.645,7.545659351,2233.976613,0.111498,8.87,1.47,3.07,1.1,13,13,
Bodega,7/25/2016,Day,1,14,8:20,36.8,43778,14,2.89,-6.8,13.958,7.248507925,2203.93,0.111498,1.61,2.48,2.82,1.1,14,14,
Bodega,7/25/2016,Day,1,15,7:47,36.6,40959,11.3,4.08,-13.9,11.859,7.386769652,2195.162938,0.111498,14,2.21,8.58,1.1,15,15,
Bodega,7/25/2016,Day,1,Ocean,8:23,36.6,40746,11.1,9.05,-45.8,11.72,7.952031069,2196.920486,0.111498,6.81,1.2,0.28,1.1,Ocean,Ocean,
Bodega,7/25/2016,Day,2,1,8:40,36.6,41121,11.5,4.63,-21.3,12.049,7.516297435,2243.5095,0.137907,7.57,1.57,13.79,1.3,1,1,
Bodega,7/25/2016,Day,2,2,8:42,36.6,41204,11.6,5.42,-19.1,12.247,7.476068693,2207.85293,0.137907,6.94,1.28,9.55,1.3,2,2,
Bodega,7/25/2016,Day,2,3,8:44,36.7,41597,11.9,4.97,-20.6,12.509,7.500744116,2302.325648,0.137907,20,2.3,8.22,1.3,3,3,
Bodega,7/25/2016,Day,2,4,8:50,36.8,42811,13,6.73,-20,13.212,7.485328457,2168.172232,0.137907,7.11,1.28,11.43,1.3,4,4,
Bodega,7/25/2016,Day,2,5,8:52,36.6,42888,13.2,7.7,-29.9,13.342,7.658589641,2161.050172,0.137907,4.31,1.29,9.25,1.3,5,5,
Bodega,7/25/2016,Day,2,6,8:56,36.5,42275,12.7,8.35,-35,13.266,7.748896422,2165.287588,0.137907,4.03,1.04,3.49,1.3,6,6,
Bodega,7/25/2016,Day,2,7,8:58,36.6,41538,11.9,6.94,-32.1,12.152,7.706357454,2260.644649,0.137907,6.93,1.29,7.85,1.3,7,7,
Bodega,7/25/2016,Day,2,8,9:01,36.7,42167,12.5,7.91,-26,12.68,7.594774571,2260.644649,0.137907,3.43,1.37,4.34,1.3,8,8,
Bodega,7/25/2016,Day,2,9,9:03,36.6,41978,12.3,13.08,-49.8,12.781,8.013535819,2205.085184,0.137907,1.07,0.792,0.82,1.3,9,9,
Bodega,7/25/2016,Day,2,10,9:06,36.4,41255,11.8,8.99,-33.7,12.187,7.734350121,2230.816924,0.137907,4.39,0.965,2.16,1.3,10,10,
Bodega,7/25/2016,Day,2,11,9:16,36.7,41715,12,9.67,-34.1,12.472,7.739205052,2118.357268,0.137907,9.62,1.99,6.4,1.3,11,11,
Bodega,7/25/2016,Day,2,12,9:10,36.7,41213,11.5,7.01,-22.6,12.083,7.539030024,2224.149694,-0.01251,10.7,1.43,6.46,1.3,12,12,
Bodega,7/25/2016,Day,2,13,9:12,36.7,41388,11.7,8.52,-33.2,12.225,7.725226206,2225.355645,-0.01251,5.43,1.29,4.04,1.3,13,13,
Bodega,7/25/2016,Day,2,14,9:18,36.7,44250,14.1,4.6,-18.9,14.273,7.458769947,2209.621191,-0.01251,2.15,1.23,2.1,1.3,14,14,
Bodega,7/25/2016,Day,2,15,8:46,36.7,41554,11.8,5.07,-20.7,12.479,7.502716031,2205.711933,-0.01251,12.3,2.18,11.19,1.3,15,15,
Bodega,7/25/2016,Day,2,Ocean,9:21,36.6,41029,11.4,9.14,-45.3,12.732,7.934633153,2243.125962,-0.01251,6.52,0.911,1.49,1.3,Ocean,Ocean,
Bodega,7/25/2016,Day,3,1,9:40,36.6,41869,12.3,4.9,-21.9,13.228,7.5186553,2272.133645,-0.01251,9.86,1.72,17.76,0.836,1,1,
Bodega,7/25/2016,Day,3,2,9:43,36.6,41829,12.2,6.37,-24.4,12.91,7.56492044,2211.674822,-0.01251,8.92,1.45,11.36,0.836,2,2,
Bodega,7/25/2016,Day,3,3,9:45,36.7,42236,12.4,8.27,-31,13.399,7.677510488,2261.571663,-0.01251,16.6,1.63,10.93,0.836,3,3,
Bodega,7/25/2016,Day,3,4,9:48,36.6,43532,13.9,8.89,-28,14.135,7.619343541,2117.86384,-0.01251,11.5,1.49,18.8,0.836,4,4,
Bodega,7/25/2016,Day,3,5,9:53,37.1,44597,14.3,12.52,-46.5,14.477,7.940990248,2067.246838,0.048481,4.54,1.37,9.96,0.836,5,5,
Bodega,7/25/2016,Day,3,6,9:54,36.7,43460,13.7,12.7,-48.9,13.716,7.989595847,2126.336468,0.048481,4.72,1.19,6.42,0.836,6,6,
Bodega,7/25/2016,Day,3,7,9:56,36.8,42401,12.6,6.98,-42.3,13.101,7.87870523,2254.423623,0.048481,15.9,2.69,10.63,0.836,7,7,
Bodega,7/25/2016,Day,3,8,9:58,36.5,42699,13.2,12.18,-45.4,13.752,7.927804098,2217.663033,0.048481,4.35,2.08,6.42,0.836,8,8,
Bodega,7/25/2016,Day,3,9,10:02,36.9,43560,13.5,18.98,-67.5,13.845,8.315107253,2191.685966,0.048481,1.15,0.883,2.82,0.836,9,9,
Bodega,7/25/2016,Day,3,10,10:05,36.6,42222,12.6,11.73,-43.2,13.3,7.892901075,2159.801385,0.048481,5.54,1.05,3.86,0.836,10,10,
Bodega,7/25/2016,Day,3,11,10:13,36.6,42562,13,12.98,-47.9,13.645,7.972635516,2064.717803,0.048481,5.06,1.26,8.55,0.836,11,11,
Bodega,7/25/2016,Day,3,12,10:09,36.6,41491,11.9,8.53,-25.9,13.16,7.589539639,2220.151766,0.048481,15.4,1.82,9.16,0.836,12,12,
Bodega,7/25/2016,Day,3,13,10:11,36.7,41979,12.2,13.7,-44.7,13.558,7.917131164,2217.436885,0.048481,11.8,4.02,6.05,0.836,13,13,
Bodega,7/25/2016,Day,3,14,10:16,37.1,44937,14.7,6.59,-29.6,15.243,7.639190608,2196.802784,0.048481,3.44,1.95,3.07,0.836,14,14,
Bodega,7/25/2016,Day,3,15,9:47,36.7,42200,12.5,7.45,-29.1,13.384,7.644205061,2160.612534,0.048481,7.77,1.39,11.42,0.836,15,15,
Bodega,7/25/2016,Day,3,Ocean,10:20,36.6,41402,11,9.4,-49.6,13.963,7.999754133,2246.025591,0.048481,6.21,0.847,1.12,0.836,Ocean,Ocean,
Bodega,7/25/2016,Day,4,1,11:00,36.8,43740,13.9,6.56,-30.6,15.365,7.655754773,2242.346791,0.02927,8.59,1.97,19.9,0.84,1,1,
Bodega,7/25/2016,Day,4,2,11:03,36.9,43181,13.4,10.03,-33.2,15.122,7.703024619,2169.935715,0.02927,5.64,1.12,12.88,0.84,2,2,
Bodega,7/25/2016,Day,4,3,11:04,37,44539,14.4,13.11,-44.2,15.813,7.889606437,2184.38381,0.02927,16.3,1.42,13.62,0.84,3,3,
Bodega,7/25/2016,Day,4,4,11:08,36.7,46230,16.5,12.08,-42.4,17.474,7.844670533,2045.127399,0.02927,7.89,1.19,15.63,0.84,4,4,
Bodega,7/25/2016,Day,4,5,11:11,37.1,45769,17.8,16.6,-62.5,18.104,8.187350636,1905.18332,0.02927,3.5,1.21,10.45,0.84,5,5,
Bodega,7/25/2016,Day,4,6,11:13,36.8,45303,15.5,17.91,-64.7,16.336,8.242170028,2028.611225,0.02927,3.92,0.937,7.27,0.84,6,6,
Bodega,7/25/2016,Day,4,7,11:15,37,44071,14,10.82,-54.7,16.042,8.070694511,2191.995384,0.02927,6.79,1.55,12.27,0.84,7,7,
Bodega,7/25/2016,Day,4,8,11:19,37.5,46000,15.3,14.79,-79.4,17.099,8.490173868,2143.355901,0.02927,1.44,1.35,5.57,0.84,8,8,
Bodega,7/25/2016,Day,4,9,11:20,37.3,46358,15.9,25.65,-91.6,17.369,8.699016897,2117.733528,0.02927,0.745,0.733,4.29,0.84,9,9,
Bodega,7/25/2016,Day,4,10,11:23,36.9,43821,14,17.45,-70.8,15.87,8.352968545,2023.560978,0.02927,3.43,0.929,3.55,0.84,10,10,
Bodega,7/25/2016,Day,4,11,11:30,37.3,44715,14.3,17.55,-63.3,16.889,8.212594358,1914.279004,0.02927,3.41,1.21,9.71,0.84,11,11,
Bodega,7/25/2016,Day,4,12,11:25,37,42869,12.9,7.67,-27.2,15.194,7.597605862,2216.845298,0.040045,6.87,1.14,10.38,0.84,12,12,
Bodega,7/25/2016,Day,4,13,11:27,36.6,43155,13.6,16.21,-60.5,15.516,8.176644176,2184.805492,0.040045,3.46,1.4,5.32,0.84,13,13,
Bodega,7/25/2016,Day,4,14,11:32,37.1,46250,16.1,10.69,-48.1,17.776,7.940955882,2169.833074,0.040045,1.78,1.37,4.59,0.84,14,14,
Bodega,7/25/2016,Day,4,15,11:06,36.7,43528,13.9,10.7,-41.6,15.65,7.845584621,2096.393439,0.040045,5.15,1.34,10.93,0.84,15,15,
Bodega,7/25/2016,Day,4,Ocean,11:35,36.4,41519,12,9.51,-55.8,16.001,8.090232134,2229.816173,0.040045,5.81,0.883,1.12,0.84,Ocean,Ocean,
Bodega,7/25/2016,Day,5,1,12:00,37,45304,15.3,9.06,-39.8,17.043,7.803025309,2198.331283,0.040045,7.79,2.49,17.64,0,1,1,
Bodega,7/25/2016,Day,5,2,12:02,37.1,44654,14.6,11.7,-47.9,16.528,7.948064145,2112.312029,0.040045,6.8,1.81,12.82,0,2,2,
Bodega,7/25/2016,Day,5,3,12:04,36.8,46151,16.2,16.29,-60.2,17.71,8.151172405,2051.754386,0.040045,14.1,2.08,16.48,0,3,3,
Bodega,7/25/2016,Day,5,4,12:06,36.6,48591,18.8,14.29,-52,19.455,7.993931798,1972.199271,0.040045,11.2,2.04,17.82,0,4,4,
Bodega,7/25/2016,Day,5,5,12:09,37.1,50180,19.7,17.28,-69.8,19.852,8.296657691,1763.000685,0.178674,4.94,1.9,13.07,0,5,5,
Bodega,7/25/2016,Day,5,6,12:12,36.8,46130,16.3,21.14,-76.8,17.842,8.437457857,1935.315959,0.178674,6.86,1.35,10.32,0,6,6,
Bodega,7/25/2016,Day,5,7,12:14,37.2,45776,15.3,16.7,-54.5,17.202,8.056908641,2143.412632,0.178674,17.6,4.71,17.58,0,7,7,
Bodega,7/25/2016,Day,5,8,12:18,36.9,46386,16.3,23.59,-92.7,19.388,8.69567897,2048.3226,0.178674,1.25,1.28,5.57,0,8,8,
Bodega,7/25/2016,Day,5,9,12:20,37.2,48665,18.1,29.49,-103.7,19.525,8.883578522,2025.192275,0.178674,0.673,0.846,4.59,0,9,9,
Bodega,7/25/2016,Day,5,10,12:22,37.3,45920,15.4,20.59,-81.8,17.346,8.529253722,2023.369859,0.178674,2.51,0.934,3.62,0,10,10,
Bodega,7/25/2016,Day,5,11,12:30,37.2,47374,16.9,19.4,-65.7,17.352,8.249881343,1770.81547,0.178674,3.07,1.13,13.98,0,11,11,
Bodega,7/25/2016,Day,5,12,12:26,38.3,47832,16.2,9.25,-39.4,16.116,7.803470621,2160.18649,0.178674,8.66,1.47,10.93,0,12,12,
Bodega,7/25/2016,Day,5,13,12:27,36.8,44732,14.9,20.65,-75.6,16.951,8.425692031,2133.111549,0.178674,1.92,1.14,5.51,0,13,13,
Bodega,7/25/2016,Day,5,14,12:32,37.3,47836,17.3,13.59,-57.6,18.922,8.09518471,2139.343526,0.178674,2.24,2.06,8.49,0,14,14,
Bodega,7/25/2016,Day,5,15,12:05,36.8,45219,15.3,12.96,-52.6,17.167,8.02423595,2038.354746,0.178674,4.6,1.62,13.07,0,15,15,
Bodega,7/25/2016,Day,5,Ocean,12:35,36.3,42242,12.7,9.74,-60.6,15.682,8.176850242,2159.538198,0.178674,5.95,0.946,1.24,0,Ocean,Ocean,
Bodega,7/27/2016,Night,0,1,21:48,36.3,41544,12.3,7.26,-37.8,11.83,7.809619789,2225.60463,0.02662,6.81,1.26,6.420732,0,1,16,
Bodega,7/27/2016,Night,0,2,21:49,36.4,41765,12.4,6.75,-42.5,12.613,7.886255874,2180.229085,0.02662,2.98,0.763,4.835366,0,2,17,
Bodega,7/27/2016,Night,0,3,21:50,36.4,41667,12.2,5.65,-31.9,12.389,7.701018551,2219.005536,0.02662,5.93,0.946,8.981707,0,3,18,
Bodega,7/27/2016,Night,0,4,21:55,36.5,42351,12.8,5.53,-40.4,12.563,7.849626836,2232.298999,0.02662,4.15,0.793,8.25,0,4,19,
Bodega,7/27/2016,Night,0,5,21:58,36.5,42158,12.7,3.2,-23.2,12.446,7.547060545,2214.311306,0.486238,3.92,0.965,9.530488,0,5,20,
Bodega,7/27/2016,Night,0,6,22:00,36.2,41938,12.7,3.19,-25.3,12.625,7.582828311,2210.812694,0.486238,3.93,0.805,7.70122,0,6,21,
Bodega,7/27/2016,Night,0,7,22:02,36.5,41652,12.1,2.31,-20.1,12.032,7.495209475,2149.102768,0.486238,5.6,1.26,17.88415,0,7,22,removed 450 ml of water
Bodega,7/27/2016,Night,0,8,22:04,36.5,42033,12.5,2.03,-20.1,12.458,7.492273997,2195.117125,0.486238,2.29,0.89,9.103659,0,8,23,"changed battery, DO measurement was 2 mins later"
Bodega,7/27/2016,Night,0,9,22:06,36.5,41801,12.3,2.5,-20.1,12.453,7.492308427,2172.792832,0.486238,2.06,0.734,6.908537,0,9,24,
Bodega,7/27/2016,Night,0,10,22:09,36.5,41680,12.1,5.41,-34.5,12.065,7.749429885,2230.340043,0.486238,3.11,0.724,3.859756,0,10,25,
Bodega,7/27/2016,Night,0,11,22:15,36.5,41798,12.2,3.65,-26,12.232,7.598022762,2120.313727,0.486238,3.45,1.1,11.96951,0,11,26,
Bodega,7/27/2016,Night,0,12,22:10,36.5,41840,12.3,5.92,-36.7,12.274,7.786648551,2220.620095,0.486238,4.25,0.922,7.457317,0,12,27,
Bodega,7/27/2016,Night,0,13,22:12,36.5,41995,12.4,5.89,-41.5,12.352,7.870761843,2229.804252,0.486238,2.75,0.701,4.286585,0,13,28,
Bodega,7/27/2016,Night,0,14,22:18,36.6,42064,13,4.92,-36.2,12.944,7.772543023,2218.094024,0.486238,3.73,0.767,7.579268,0,14,29,
Bodega,7/27/2016,Night,0,15,21:52,36.5,41856,12.4,6.08,-38.4,12.433,7.815390419,2218.951622,0.486238,3.83,0.82,6.786585,0,15,30,
Bodega,7/27/2016,Night,0,Ocean,22:23,36.5,40687,11.6,5.7,-49.5,11.734,8.01736703,2245.844719,0.486238,6.87,1.09,3.920732,0,Ocean,Ocean,
Bodega,7/27/2016,Night,1,1,22:48,36.5,41648,12.1,4.05,-30.1,11.965,7.672433498,2207.857449,0.179862,5.39,1.32,16.54268,0,1,16,
Bodega,7/27/2016,Night,1,2,22:49,36.5,41946,12.4,4.6,-33.7,12.242,7.733924796,2221.246537,0.179862,3.91,1.05,11.35976,0,2,17,
Bodega,7/27/2016,Night,1,3,22:51,36.5,41801,12.2,1.71,-15.8,12.167,7.41832493,2247.371473,0.179862,11.6,1.38,14.22561,0,3,18,
Bodega,7/27/2016,Night,1,4,22:55,36.5,42388,12.8,4.11,-31,12.542,7.683977062,2199.84006,0.179862,5.03,1.04,12.09146,0,4,19,
Bodega,7/27/2016,Night,1,5,22:57,36.5,42131,12.6,1.89,-14.8,12.411,7.399060144,2198.395331,0.179862,3.26,1.18,11.84756,0,5,20,
Bodega,7/27/2016,Night,1,6,22:58,36.5,42271,12.7,1.78,-16.5,12.582,7.427923438,2203.929382,0.179862,4.52,1.06,8.79878,0,6,21,
Bodega,7/27/2016,Night,1,7,23:00,36.5,41674,12.1,0.64,-15.5,11.929,7.414599112,2165.299681,0.179862,7.86,1.97,21.84756,0,7,22,
Bodega,7/27/2016,Night,1,8,23:02,36.5,42603,12.5,0.83,-14.6,12.344,7.395969121,2202.634532,0.179862,2.18,1.12,9.469512,0,8,23,
Bodega,7/27/2016,Night,1,9,23:05,36.5,41852,12.3,0.92,-13.4,12.408,7.37437154,2190.177352,0.179862,2.14,1.01,7.762195,0,9,24,
Bodega,7/27/2016,Night,1,10,23:07,36.5,41658,12.1,2.66,-21.9,12.036,7.526991121,2241.707899,0.179862,2.97,0.953,5.140244,0,10,25,
Bodega,7/27/2016,Night,1,11,23:14,36.5,41848,12.3,1.48,-13.9,12.122,7.385056854,2127.87619,0.149232,2.9,1.25,18.67683,0,11,26,
Bodega,7/27/2016,Night,1,12,23:10,36.5,41792,12.2,3.61,-26.8,12.186,7.612486577,2203.869058,0.149232,4.73,1.16,7.152439,0,12,27,
Bodega,7/27/2016,Night,1,13,23:11,36.5,41987,12.4,4.76,-34.6,12.268,7.749615452,2223.028636,0.149232,2.04,0.753,4.347561,0,13,28,
Bodega,7/27/2016,Night,1,14,23:17,36.6,42686,13,3.02,-26.2,12.776,7.597604398,2194.654373,0.149232,3.22,0.841,6.664634,0,14,29,
Bodega,7/27/2016,Night,1,15,22:52,36.5,42015,12.4,4.03,-26.7,12.416,7.60904186,2198.406966,0.149232,4.29,1.08,9.713415,0,15,30,
Bodega,7/27/2016,Night,1,Ocean,23:22,36.5,41187,11.6,8.58,-46.2,11.671,7.959525367,2277.567862,0.149232,6.19,0.891,3.79878,0,Ocean,Ocean,
Bodega,7/27/2016,Night,2,1,23:48,36.5,41717,12.2,1.7,-20.1,11.877,7.496278622,2206.595587,0.149232,5.09,1.29,17.70122,0.6,1,16,
Bodega,7/27/2016,Night,2,2,23:49,36.5,42048,12.5,3.42,-25,12.182,7.580722852,2168.94061,0.149232,2.71,0.845,9.347561,0.6,2,17,
Bodega,7/27/2016,Night,2,3,23:50,36.3,41623,12.2,0.83,-11.8,12.057,7.348371996,2306.124913,0.149232,13.6,1.34,14.53049,0.6,3,18,
Bodega,7/27/2016,Night,2,4,23:54,36.6,42378,12.8,3.24,-23.9,12.476,7.559199426,2221.797008,0.149232,3.72,0.848,12.51829,0.6,4,19,
Bodega,7/27/2016,Night,2,5,23:56,36.5,41961,12.5,2.09,-11.4,12.248,7.340090128,2187.06713,0.149232,2.36,1.14,11.54268,0.6,5,20,
Bodega,7/27/2016,Night,2,6,23:57,36.6,42207,12.6,1.44,-11.9,12.5,7.347311486,2217.758452,0.149232,3.2,0.872,6.908537,0.6,6,21,
Bodega,7/28/2016,Night,2,7,0:00,36.6,41635,12.1,0.97,-14.5,12.014,7.396363923,2219.412804,0.149232,6.45,1.56,20.44512,0.6,7,22,
Bodega,7/28/2016,Night,2,8,0:01,36.6,42034,12.4,0.91,-12.9,12.33,7.366049689,2220.880095,0.149232,1.4,0.927,8.25,0.6,8,23,
Bodega,7/28/2016,Night,2,9,0:03,36.6,42054,12.4,0.8,-11.8,12.312,7.346745498,2220.658019,0.149232,1.4,0.795,8.006098,0.6,9,24,
Bodega,7/28/2016,Night,2,10,0:05,36.6,41707,12.1,1.64,-16.5,12.035,7.431570106,2204.990078,0.149232,2.2,0.872,5.384146,0.6,10,25,
Bodega,7/28/2016,Night,2,11,0:11,36.6,41829,12.2,1.21,-9.3,12.113,7.303847132,2128.643509,0.149232,2.88,1.34,19.40854,0.6,11,26,
Bodega,7/28/2016,Night,2,12,0:07,36.6,41885,12.3,2.76,-19.3,12.249,7.479586756,2213.865633,0.149232,3.67,1.05,7.27439,0.6,12,27,
Bodega,7/28/2016,Night,2,13,0:09,36.5,41922,12.4,3.4,-26.3,12.414,7.601997088,2226.195746,0.340691,1.88,0.801,5.140244,0.6,13,28,
Bodega,7/28/2016,Night,2,14,0:13,36.6,42632,13,2.6,-20.4,12.825,7.495035326,2217.628625,0.340691,2.54,0.797,8.006098,0.6,14,29,
Bodega,7/27/2016,Night,2,15,23:52,36.6,42086,12.5,2.6,-19.2,12.362,7.477048688,2194.029817,0.340691,3.07,0.95,8.79878,0.6,15,30,
Bodega,7/28/2016,Night,2,Ocean,0:15,36.4,41237,11.7,8.47,-45.1,11.824,7.938767851,2249.220578,0.340691,5.18,0.971,4.652439,0.6,Ocean,Ocean,
Bodega,7/28/2016,Night,3,1,0:48,36.6,41788,12.7,1.32,-16.4,12.015,7.429936255,2246.524375,0.340691,4.63,1.37,17.29762,1.4,1,16,
Bodega,7/28/2016,Night,3,2,0:49,36.5,41955,12.5,2.09,-18.8,12.312,7.470328454,2220.682694,0.340691,2.79,0.96,9.440476,1.4,2,17,
Bodega,7/28/2016,Night,3,3,0:50,36.6,41864,12.3,0.94,-9.6,12.17,7.308791385,2329.927816,0.340691,13.4,1.26,12.59524,1.4,3,18,
Bodega,7/28/2016,Night,3,4,0:53,36.6,42388,12.8,2.58,-17.8,12.59,7.450798943,2228.510242,0.340691,4.89,1,12.89286,1.4,4,19,
Bodega,7/28/2016,Night,3,5,0:55,36.6,42283,12.7,1.62,-11,12.29,7.332760917,2186.282653,0.340691,1.78,1.13,9.738095,1.4,5,20,
Bodega,7/28/2016,Night,3,6,0:56,36.5,42227,12.7,1.1,-10.4,12.52,7.320721142,2225.612187,0.340691,3.03,0.908,6.880952,1.4,6,21,
Bodega,7/28/2016,Night,3,7,0:58,36.5,41677,12.1,1.06,-14.2,11.997,7.391172999,2262.778516,0.340691,7.76,2.07,24.2619,1.4,7,22,
Bodega,7/28/2016,Night,3,8,1:00,36.5,41994,12.5,0.92,-11.4,12.307,7.33971537,2226.385235,0.340691,1.59,0.974,9.738095,1.4,8,23,
Bodega,7/28/2016,Night,3,9,1:03,36.6,41859,12.2,0.84,-10,12.371,7.314597447,2225.974857,0.340691,2.02,1.02,8.071429,1.4,9,24,
Bodega,7/28/2016,Night,3,10,1:05,36.6,41664,12.1,1.27,-12.7,12.05,7.364320497,2283.076838,0.340691,2.49,1.06,4.738095,1.4,10,25,
Bodega,7/28/2016,Night,3,11,1:11,36.5,41726,12.2,1.05,-7.6,12.067,7.274094719,2133.558641,0.340691,2.23,1.28,18.72619,1.4,11,26,
Bodega,7/28/2016,Night,3,12,1:07,36.6,41861,12.3,1.65,-14.7,12.205,7.398645681,2218.82237,0.340691,4.86,1.26,7,1.4,12,27,
Bodega,7/28/2016,Night,3,13,1:09,36.6,42018,12.4,2.7,-20.7,12.285,7.504059418,2223.877333,0.340691,1.91,0.82,4.97619,1.4,13,28,
Bodega,7/28/2016,Night,3,14,1:14,36.6,42789,13.2,1.43,-16.3,12.886,7.422375657,2213.659939,0.340691,2.89,0.894,7.178571,1.4,14,29,
Bodega,7/28/2016,Night,3,15,0:51,36.6,42145,12.6,1.7,-14.1,12.447,7.386471566,2194.136125,0.167425,2.91,0.969,9.916667,1.4,15,30,
Bodega,7/28/2016,Night,3,Ocean,0:17,36.6,41273,11.6,8.32,-43.9,11.717,7.918442559,2251.220057,0.167425,5.88,0.869,4.083333,1.4,Ocean,Ocean,
Bodega,7/28/2016,Night,4,1,1:48,36.6,41660,12,0.95,-16.1,11.767,7.426283815,2284.327545,0.167425,4.8,1.49,23.72619,0,1,16,
Bodega,7/28/2016,Night,4,2,1:49,36.6,42098,12.5,1.51,-16,12.188,7.421718256,2183.943765,0.167425,2.68,0.982,9.797619,0,2,17,
